Store Names,Store Type,Location,Description
Haagen-Dazs ,FOOD,GF,"Lezat, es krim premium dibuat hanya dengan bahan-bahan berkualitas tinggi. Tidak ada yang lebih baik dari ini."
Haircode ,SERVICE,2F,Nikmati tampilan baru dengan tim stylist profesional Haircode
Havaianas,GOODS,1F,"Havaianas (diucapkan: ah-vai-yah-nas) telah menyebarkan semangat Brasil di seluruh dunia sejak 1962, dengan sol karet ikonik dan desain cerah serta menyenangkan, musim panas yang terkenal. Merek ini sekarang dijual di lebih dari 100 negara di seluruh dunia dengan lebih dari 400 model dan desain baru setiap tahun, dan terus dibuat di tempat kelahirannya, Brasil. Saat ini, merek 'asli' flip-flop dikenal secara global untuk kenyamanan, musim panas Brasil, kebebasan dan kemitraan yang menarik."
Headquarters ,SERVICE,2F,"Headquarters membidik eksekutif & keluarga muda sebagai target pasar. Dengan konsep “First Class Service”, Headquarters telah menjadi destinasi salon favorit. Komitmen kami adalah menyediakan layanan dan pengalaman yang dibutuhkan pelanggan seiring dengan perkembangan gaya hidup urban."
Hey! Kafe,FOOD,3F,HEY! Kafe minuman kekinian yang segar dan nikmat dengan harga terjangkau. Yuk Nikmati HEY! Kafe
HG Cakes and Bakery ,FOOD,3F,"HG Cake & Bakery memberi Anda rasa lezat, aroma segar, dan godaan manis. HG Cake & Bakery adalah cara yang tepat untuk memilikinya."
Hop Hop ,FOOD,3F,"Hop Hop adalah minuman unik yang memiliki lebih dari 20 rasa buah-buahan serta coklat yang berbeda. Dikemas dalam 400 ml gelas plastik yang diisi dengan ice blended yang segar serta berbagai rasa ditambah menggunakan Pearl Bubble yang berbahan dasar tapioka alami. Chocolate, strawberry, bubble gum and taro adalah menu pilihan pengunjjung.."
Huawei,GOODS,3F,"Sebagai salah satu dari tiga kelompok bisnis Huawei, Huawei Consumer BG adalah pemimpin dari semua kehidupan AI yang indah, mencakup smartphone, PC dan tablet, perangkat broadband seluler, perangkat keluarga dan perangkat layanan cloud. Huawei Consumer BG didedikasikan untuk memberikan teknologi terbaru kepada konsumen dan berbagi kebahagiaan kemajuan teknologi dengan lebih banyak orang diseluruh dunia. Terus berjalan dan wujudkan mimpi."
Hush Puppies ,FASHION,1F,"Sejak tahun 1958, Hush Puppies telah memimpin revolusi gaya hidup kasual. Yang pertama dari jenisnya, alas kaki lembut dan santai, ditujukan untuk anda"
Ice Gentong ,FOOD,3F,"Ice cream gentong menggunakan freezer berbentuk gentong kayu untuk menyimpan Eskrimnya, sangat unik untuk dilihat"
Ichiro ,FOOD,3F,"Ichiro berada dalam peringkat atas “best ramen” dengan ciri khasnya “the silky broth with homemade noodle"" dan food filosofi tanpa MSG atau perasa sintetis. Ichiro memberikan kepuasan di berbagai negara: “The Most Awesome RAMEN”, “Hongkong Hottest Hole” (CNNGO ), “First of The Top Five Ramen Shops” (Asia Tattler Dining), “The Longest Queque but Worth The Visit (TimeOut)."
Iga Bakar Lombok,FOOD,3F,
Imperial Kitchen ,FOOD,3F,"Imperial Kitchen & Dimsum AEON Mall BSD City adalah outlet kami yang ke 18, Imperial Kitchen menyediakan menu favorit antara lain aneka macam dimsum yaitu : hakau , siew mai ,bakpoo telur asin dll , dan kita juga ada menu lamian dengan cita rasa yang unik dan sangat digemari serta penyajiannya langsung bisa dilihat oleh customer. Kami juga menyediakan berbagai menu dessert pilihan antara lain snow ice bercita rasa tinggi dan berbagai menu minuman lainnya yaitu : es cendol durian, strawberry mojito, es cincau dll."
Innisfree,GOODS,GF,innisfree adalah brand kecantikan pertama asal Korea Selatan yang mengusung konsep alami dan menggunakan bahan alami asal pulau Jeju. innisfree didirikan pada tahun 2000 dan hadir di Indonesia sejak tahun 2017.
Ixobox ,SERVICE,2F,"MERAPIKAN & MEMOTONG RAMBUT adalah merupakan KEAHLIAN kami. Kami mengerti bahwa penampilan seseorang itu sangatlah penting, oleh karenanya kami selalu memberikan kualitas dan MODEL rambut yang sesuai dengan kepribadian dan keinginan para pelanggan. Di atas semua itu, kami senantiasa peduli dengan KESEHATAN, WAKTU & UANG Anda."
K-Somsa Cotton Candy,FOOD,3F,
Kangkung Bakar,FOOD,3F,
KFC ,FOOD,3F,KFC Jagonya Ayam!
KFC ,FOOD,3MF,KFC Jagonya Ayam!
Kiddycuts ,SERVICE,2F,"Anak Anda sulit diajak gunting rambut? Datang saja ke Kiddy Cuts. Difasilitasi tontonan film favorit dan play station, aktifitas gunting rambut menjadi menyenangkan. Ditangani oleh hairstylist profesional dan area yang higienis, anak Anda pasti akan merasa nyaman di Kiddy Cuts."
Kids & Beyond,GOODS,2F,Kids&Beyond is coming for you!
Kids Icon & Curly ,FASHION,2F,"Kids Icon adalah sebuah brand pakaian khusus untuk anak-anak yang dibuat dengan gaya kekinian, fashionable dan nyaman untuk dipakai."
Kidz Station ,GOODS,2F,"Kidz Station adalah toko anak-anak yang paling dikenal di Indonesia, dan telah memberikan kegembiraan pada anak-anak selama 15 tahun dengan mainan-mainan populer, pakaian dan alas kaki dengan merk terkenal."
Koi Cafe ,FOOD,1F,"KOI Cafe adalah outlet teh & kopi yang berasal dari Taiwan, dioperasikan oleh 50嵐(“50 Lan”), merupakan outlet minuman terpopuler di Taiwan dengan jumlah melebihi 500 outlet. KOI Cafe memiliki prinsip menyiapkan minuman just-in-time untuk mempertahankan cita rasa terbaik."
Kokuo Reflexology ,SERVICE,3MF,"""Koku? Eastern Reflexology adalah griya pijat kesehatan untuk keluarga berdiri pada tahun 2OO3.

Semua tenaga terapis Koku? Eastern Reflexology adalah terapis yang handal dan professional, sesuai dengan motto kami “Memberikan Pelayanan Terbaik Kepada Pelanggan”.

Perpaduan teknik refleksi China dan Jepang dengan teknik tradisional Indonesia yang dipakai di Koku? telah terbukti keampuhannya untuk kebugaran tubuh kita. Suasana yang sejuk, hening dan nyaman di Koku? pun akan membantu untuk mendapatkan kesegaran jiwa kita."""
Kopi Janji Jiwa,FOOD,GF,"Janji Jiwa mengadopsi konsep fresh-to-cup yang menyajikan pilihan Kopi Lokal Indonesia. Penyajian kami yang trendi dan tetap menghadirkan produk-produk klasik bercita rasa kopi adalah janji kami.
Untuk menjaga kualitas mutu kami memakai biji yang dibeli langsung dari petani serta diproses secara teliti, kami juga memanggang biji kopi tersebut dengan standar international oleh roaster yang berkompeten sehingga menjamin cita rasa yang konsisten saat diminum.
Dengan pengalaman lebih dari satu dekade, Janji Jiwa juga berhasil menemukan cara untuk menghasilkan produk-produk berkualitas dengan harga yang terjangkau

Jiwa Toast :
Ready, set, toast!
Jiwa Toast hadir untuk memberikan gaya baru dalam menikmati toast bread. Dengan konsep simple dan cita rasa yang khas, Jiwa Toast hadir untuk melengkapi gaya hidup yang dibentuk oleh Kopi Janji Jiwa.
Seperti layaknya Kopi Janji Jiwa, Jiwa Toast dipersiapkan dengan berbagai bahan dasar berkualitas terbaik dan dibuat secara fresh oleh juru masak yang sudah berpengalaman. Dengan hadirnya Jiwa Toast, cita rasa dari Kopi Janji Jiwa akan semakin lengkap dan sesuai dengan selera konsumen."
Kopi Kenangan,FOOD,1F,Kopi Kenangan merupakan toko kopi non-waralaba yang tumbuh paling cepat di Indonesia. Gagasan Kopi Kenangan dimulai karena para pendiri memiliki misi untuk menyebarkan hasrat mereka terhadap kopi Indonesia.
Krispy Kreme ,FOOD,GF,"Krispy Kreme Corporation adalah pemilik ritel Internasional dari produk doughnut berkualitas premium termasuk produk signature Original Glazed doughnut. Bermarkas di Winston-Salem,N.C. Perusahaan yang menawarkan kualitas doughnut dan kopi terbaik sejak didirikan tahun 1937. Saat ini, Krispy Kreme terdapat di lebih dari 1.001 gerai di 97 negara seluruh dunia. Untuk pertama kalinya Krispy Kreme membuka gerai berkonsep baru, lengkap dengan jendela Processing yang menawarkan pengalaman pembuatan doughnut."
Kwetiaw 28 AHO ,FOOD,3F,
L'Occitane ,GOODS,GF,"L'Occitane en Provence menyediakan produk perawatan tubuh, wajah, dan wewangian ke berbagai penjuru dunia. L'Occitane didirikan pada tahun 1976 oleh Olivier Baussan di Manosque, Perancis. Baussan memanfaatkan antusiasmenya terhadap kekayaan alam yang paling berharga dan menciptakan perusahaan kosmetik berdasarkan minyak saripati dan kandungan alami."
Lash Inc ,SERVICE,2F,"Lash Inc telah hadir di Aeon Mall BSD City meyediakan service pemasangan bulu mata yang nyaman, paket Korean Vitamin C Glow facial untuk pengencangan dan pencerahan wajah dan Brow Henna."
Laxmi Tailor ,FASHION,1F,"Didirikan sejak tahun 1949, LAXMI Tailors terus melayani klien setia kami dengan pelayanan memuaskan dalam layanan Bespoke Custom Tailoring. Kami menyediakan banyak pilihan pakaian premium untuk Suits, Kemeja, Celana dan Batik yang dibuat secara mahir oleh penjahit-penjahit kami. Kami juga menyediakan layanan alteration (perubahan) pakaian untuk laki-laki dan perempuan."
Le Coq ,FASHION,GF,"Dengan lebih dari 135 tahun sejarah sebagai merek olahraga tertua di Prancis, Le Coq Sportif telah berkomitmen untuk melengkapi atlet dengan produk terobosan. Terinspirasi oleh semangat Prancis, kami telah menyatukan olahraga dan fashion dengan kepekaan dan keberanian, untuk mencapai keseimbangan."
Le Viet & Hochito,FOOD,2F,"Rasakan sensasi citra rasa kopi Vietnamese & waffle Prancis di LeViet.
Siap-siap untuk ketagihan!"
Levi's ,FASHION,1F,"Levi’s original concept store menampilkan summer collection dengan berbagai macam produk seperti coolmax, 501 Thermo jeans, girls short, skirt, dresses dan alternative length bottom, perfect untuk tampil cool & chic."
Liang Crispy Roll,FOOD,GF,
Little X Eight ,FASHION,2F,"Little X Eight diciptakan untuk memenuhi kebutuhan fashion anak-anak urban yang aktif, yang senang bermain dan tetap terlihat modis. Little X Eight menawarkan koleksi kasual untuk kegiatan outdoor aktif anak-anak dan koleksi smart-casual untuk kegiatan sosial dalam ruangan mereka. Setiap produk dirancang dengan mempertimbangkan anak-anak: mudah dipakai dan nyaman dengan detail inovatif dalam bahan, desain, dan polanya."
"Lock & Lock with Hello, Bebe ",GOODS,2F,"Lock & Lock is a household products company headquartered in Seoul, South Korea. Since its establishment in 1978, Lock & Lock has been exporting products to 119 countries worldwide The company has a wide range of products categories for food containers, cookware, tumbler and water bottle."
Lokal Coffee,FOOD,GF,
Loly Poly,GOODS,3F,PT. Mega Sukses telah berhasil menunjukkan eksistensinya di dunia teknologi sebagai perusahaan retail aksesori terbesar di Indonesia. Kami melayani semua customer dari segala segmen dengan berbagai macam model dan tren untuk handphone dan fesyen aksesori serta gadget melalui jaringan retail brand kami Loly Poly Love Poly Macson.
"Love, Bonito",FASHION,1F,"Love, Bonito hadir di Indonesia sejak Mei 2015. Kami berharap untuk dapat menginspirasi banyak wanita di Indonesia untuk lebih percaya diri. Dengan kualitas bahan yang baik serta ukuran yang sesuai dengan proporsi tubuh wanita Asia, kami yakin setiap wanita dapat berpakaian dengan baik. Mengusung tagline, ""Empowering Women Through Confidence"", misi kami adalah untuk menginspirasi dan membangun kepercayaan diri wanita melalui fashion. Kini Love, Bonito telah memiliki strong retail presence di Singapura, Indonesia, Malaysia, dan Kamboja."
Lukumades,FOOD,GF,"Lukumades menyediakan donut bite-sized yang merupakan greek doughnut buatan tangan dengan sentuhan modern yang sudah dikenal sejak 2016 di Melbourne, Australia."
Maison Tatsuya ,FOOD,GF,"Maison Tatsuya, Teppanyaki Jepang dengan harga terjangkau. Interior yang nyaman dan kontemporer telah menjadi ciri khas restoran kami. Kami siap memanjakan Anda dengan keluarga atau kerabat tercinta Anda."
MAKE OVER ,GOODS,1F,"Make Over Cosmetics adalah kosmetik profesional dengan rangkaian lengkap warna, tekstur dan fungsi untuk setiap kategori produk."
Marie Claire,GOODS,1F,"Marie Claires Anda seperti sahabat Anda; mereka mengerti Anda, mereka senang menemani Anda ke mana pun Anda pergi, dan mereka akan membantu Anda terlihat terbaik sepanjang hari dan malam. Dari hari yang sibuk di kantor, hingga malam yang menyenangkan di Paris, London atau Milano, Marie Claires Anda ada di sisi Anda. Gaya modis, pengerjaan indah, dan gaya terjangkau, Anda selalu dapat mengandalkan Marie Claires Anda."
Max Fashions,FASHION,2F,"Max Fashions, value fashion brand dari Dubai – Timur Tengah, menawarkan berbagai pilihan produk dari fashion, pakaian olah raga, pakaian dalam, sepatu, tas dan aksesoris untuk laki-laki, wanita, dan anak-anak. Dengan 200 style dibawah Rp 149.000, Max menjadi destinasi belanja bagi keluarga."
McDonald's,FOOD,3F,Rasakan lezatnya berbagai pilihan Es Krim dengan berbagai topping yang pasti Anda suka.
Melissa ,FASHION,1F,"""Didirikan pada tahun 1979, Melissa dikenal di Brazil dan di seluruh dunia untuk pekerjaan kuratorialnya dalam fashion, seni dan desain, dengan melakukan pengambangan menggunakan bahan baku plastik.. Kembali di tahun 80-an, mereka menandatangani kemitraan internasional pertama mereka kesepakatan dengan perancang busana terkenal Jean Paul Gaultier, kemudian mengangkat spanduk kemewahan yang terjangkau dan demokratisasi desain."
Men Men Ramen,FOOD,3F,
Menya Sakura,FOOD,3F,"Menya Sakura pertama kali dibuka di Showa-ku, Nagoya bulan april 2010. Bermula dari restoran kecil dengan hanya 9 meja dan kursi, sekarang kami berkembang dan telah memiliki 20 restoran di Jepang."
Mi Home ,GOODS,3F,"Tulisan ""MI"" pada logo kami merupakan singkatan dari Mobile Internet. Singkatan ini juga memiliki arti lain, salah satunya adalah ""Mission Impossible"" karena setelah mendirikan Xiaomi, terdapat banyak hambatan yang terlihat mustahil untuk dihadapi pada saat itu."
Midas Xchange ,SERVICE,GF,"MIDAS XCHANGE VALASIA Money Changer adalah salah satu pedagang valuta asing berizin sesuai dengan ketentuan Bank Indonesia. Kami selalu berusaha yang terbaik untuk memberikan kepuasan kepada pelanggan kami. Kami menerima uang asing kertas, koin baru /lama, kondisi bagus / rusak."
Minimal,FASHION,2F,
Miniso,GOODS,2F,"Miniso merupakan penjual barang-barang murah yang berasal dari Cina yang menyediakan barang  kebutuhan rumah tangga dan barang konsumsi seperti kosmetik, alat tulis, mainan, dan peralatan dapur.  Sekarang Miniso telah berkembang di luar pasar Cina dan mengoperasikan 1.800 toko di Asia, Eropa, Australia, Afrika, dan benua Amerika."
Mo-Guri,FOOD,3F,1st Authentic Korean Corndog
Mothercare & Early Learning Center,FASHION,2F,
Nanny's Pavillon,FOOD,GF,
Nathalie Kids,FASHION,2F,
New Era ,FASHION,1F,New Era Cap Co. adalah merek gaya hidup internasional dengan warisan olahraga otentik yang telah berusia lebih dari 90 tahun.
Nike ,FASHION,GF,"Nike memiliki misi ""To bring inspiration and innovation to every athlete in the world"" Co-founder Nike, Bill Bowerman berkata ""If you have a body, you are an athlete"". Nike menjadi sport brand nomor satu di dunia dengan produk yang inovatif, berteknologi tinggi dan desain yang menarik."
Noodle King ,FOOD,3F,"Noodle King adalah makanan Korea asli, dibuat oleh koki Korea."
Noodle King ,FOOD,3MF,"Noodle King adalah makanan Korea asli, dibuat oleh koki Korea."
Nuansa Musik,SERVICE,3MF,
One Zo,FOOD,GF,"Hadir sebagai terobosan dari Taiwan, OneZo merupakan brand bubble tea pertama di dunia dengan boba segar yang dibuat setiap hari. Pelanggan bisa menikmati dan menelusuri setiap rasa baru dan menarik dari varian bubble tea kami yang segar dan kreatif, seperti black sesame, mangga, dan brown sugar. Berbeda dengan rasa lain yang pernah ada, OneZo akan selalu membuatmu ingin kembali lagi."
Ootoya ,FOOD,GF,"Menyajikan menu ""Teishoku"" terbaik yang terasa seperti masakan rumah. ""Teishoku"" merupakan makanan otentik tradisional Jepang dengan bahan-bahan natural alami, dimana setiap set menu mengandung gizi dan nutrisi yang seimbang serta dilengkapi dengan nasi, miso sup dan pickles."
Optik Melawai ,GOODS,1F,"Optik Melawai menghadirkan kacamata, sunglasses, lensa dan lensa kontak merk ternama. Kami memilikai laboratorium dengan mesin berteknologi tinggi sehingga menghasilkan lensa dengan kualitas dan akurasi terbaik."
Optik Seis ,GOODS,1F,"Optik Seis berdiri sejak tahun 1927 dan menjadi optik profesional pertama dengan memiliki visi untuk menjadi yang terbaik. 
Optik Seis memiliki misi untuk memberikan produk dan pelayanan yang terbaik bagi customer."
OshKosh & B'gosh,FASHION,2F,
Ow My Plate,FOOD,3F,"Berawal dari Founder yang berjiwa Enterpreneur dan menyukai Kuliner, kemudian menciptakan brand YAMM KE KO pada tahun 2010 untuk produk Spesialis Ayam Kampung siap saji yang diolah khusus dengan mengutamakan bahan-bahan dasar berkualitas tertinggi yang dipilih dengan cermat dan diseleksi satu per satu, sehingga yang dijual adalah ayam kampung yang berkualitas. Seiring berjalannya brand YAMM KE KO semakin berkembang mulai dari Online sampai memiliki belasan Outlet di Ranch Market, Farmers Market, Food Hall, Fresh Market, Market City, Jakarta Fruit Market.
Setelah menjalani beberapa tahun dan melihat perkembangan kuliner nusantara, didukung Passion yang dimiliki Founder kemudian kami mulai mengembangkan usaha yang lebih kekinian dan dapat dinikmati semua kalangan, mulai dari anak-anak, remaja, keluarga muda dan orang tua dengan terus melakukan research dan inovasi sesuai dengan perkembangan zaman dalam bidang Makanan dan Minuman. Sehingga hadirlah brand-brand yang kami jalankan saat ini berawal dari merambah ke bisnis Restoran dengan menciptakan brand OW MY PLATE karena melihat peluang berbisnis kuliner Hot Plate Indonesia. Selanjutnya lahirlah brand OW MY CAFE, BOBAL dan OYAKA."
OWL Eyewear,GOODS,2F,"O.W.L is a brand that marries culture of excellence and attention paid to details to create a perfect alchemy between aesthetics and technology. Owl's frames are more than just glasses, they are works of art. O.W.L was founded in 2014 to provide prescription glasses, sunglasses and non-prescription polarized sunglasses at all in one price to the style savvy. We deal directly with the source of our raw materials and manufacturer to produce high quality acetate, metal, titanium and TR90 from Korea."
Payless,FASHION,2F,"Payless Shoesource adalah salah satu retailer sepatu terbesar di dunia. Brand asal Amerika ini menawarkan beberapa produk seperti sepatu, tas, dan aksesori lainnya. Produk yang ditawarkan cocok untuk anak-anak, remaja, pria dan wanita. Kunci kesuksesan Payless adalah memberikan kombinasi produk trendi dengan harga yang terjangkau, dilengkapi dengan tempat berbelanja yang nyaman dan besar."
Pedro,FASHION,1F,Memperkenalkan alas kaki dan aksesori dalam segala gaya dan modernitas.
Pepperlunch,FOOD,GF,"Pepper Lunch dibuat pada tahun 1994 oleh koki dan penemu Kunio Ichinose, yang ingin menyajikan makanan cepat saji berkualitas tanpa menyewa koki. Dia menyusun metode menggunakan pelat logam panas yang dipanaskan hingga 500 derajat Fahrenheit (260 Celcius) oleh kompor elektromagnetik."
Pizza Marzano ,FOOD,GF,Pizza Marzano merupakan brand global yang menawarkan pizza yang menggugah selera dan disajikan dengan ciri khas tersendiri.
Planet Sports. Asia,FASHION,GF,"Planet Sports merupakan toko olahraga dan gaya hidup terbesar di Indonesia dari MAP Active. Menawarkan berbagai jenis perlengkapan olahraga dan gaya hidup seperti baju, sepatu, tas, raket, bola dan aksesoris olahraga lainnya dari brand international terkenal seperti: Nike, Adidas, Reebok, Puma, Skechers, Asics, Timex, Speedo, Converse dan masih banyak lainnya. Planet Sports adalah destinasi utama bagi para pencinta olahraga dan menyukai penampilan yang sporty dan modern."
Pocoyo,FOOD,3F,
Polo,FASHION,GF,"Ralph Lauren Corporation adalah perusahaan Amerika yang memproduksi produk-produk fashion kelas menengah hingga mewah. Mereka dikenal untuk pakaian, pemasaran dan distribusi produk dalam empat kategori: pakaian, rumah, aksesori, dan wewangian."
Pop Chop,FOOD,GF,"Dua keunggulan Pop Chop dibandingkan kedai ayam goreng khas Taiwan lainnya adalah, bahwa dagingnya berkarakter tipis namun juicy, dan disajikan dengan bumbu gurih yang beragam."
Popolamama,FOOD,GF,"Popolamama (berawal dari Jepang) menggabungkan seni dan kesempurnaan teknik Jepang ke dalam seni pembuatan pasta segar ala Italia, membawa rasa yang benar-benar kaya dan memberikan kebahagiaan serta kepuasan kepada siapa saja yang menikmatinya."
Posh Jewelry,GOODS,GF,Menyediakan beragam jenis dan bentuk berlian berkualitas tinggi dengan standar internasional dengan desain elegan.
Potato Corner ,FOOD,3F,
Puyo,FOOD,2F,"Puyo Desserts hadir untuk memberikan kenikmatan melalui silky dessertnya yang disukai oleh segala kalangan, mulai dari anak-anak, remaja dan bahkan orang tua. Sampai sekarang, Silky Desserts dan Silky Drinks dari Puyo Desserts selalu sukses memuaskan keinginan pelanggan setianya di segala kesempatan."
Ramen Seirock-ya,FOOD,3F,"Semua Menu kami terbuat dari NO PORK. Pertama kali Seirock-ya didirikan di Tsukuba City, Jepang tahun 2009 oleh Izuru Ozeki. Dan terus memperluas cabang lagi. SEIROCK-YA juga menjadi juara di festival Ramen, dan mewakili Jepang di Tokyo Spain Food festival di bidang Ramen tahun 2013. Pada tahun 2014, membuka cabang baru MATSUDA-YA, Nihonbashi, Tokyo. Dan toko pertama kami di Indonesia yaitu di AEON Mall BSD City."
REJUVE ,FOOD,3F,"Rantai jus dingin asli & terbesar di Indonesia, 55 toko di sekitar Jabodetabek. Jus terbaik yang mungkin Anda miliki"
Rip Curl,FASHION,GF,"Rip Curl merupakan salah satu retail fashion yang menyediakan berbagai produk apparel, sepatu, aksesoris yang berhubungan dengan surfing."
Rujak Kolam Medan ,FOOD,3F,
SAMBA ,FASHION,1F,Samba merupakan multi brand store yang menjual produk sandal dan jelly flat shoes dengan konsep tropical store.
Samsonite,GOODS,1F,"Samsonite adalah pemimpin dunia dalam hal tas travel, koper, dan aksesori unggul yang menggabungkan gaya terkemuka dengan teknologi desain terbaru dan perhatian penuh pada kualitas dan daya tahan.

Selama lebih dari 100 tahun, Samsonite telah memanfaatkan warisan desainnya yang kaya untuk menciptakan produk-produk yang tak tertandingi yang memenuhi kebutuhan gaya hidup profesional bisnis saat bepergian."
Samsung,GOODS,3F,"Samsung Experience Store New Concept (managed by Erafone) menghadirkan sebuah konsep baru yang menggabungkan modern design dan elegan yang nyaman dengan fungsi digital display dan teknologi terkini dari Samsung. Jajaran produk unggulan Samsung disusun sesuai kategori, premium product, tablet, entry level, serta kamera."
Sate Dombud,FOOD,3F,
Sate Padang Mak Syukur ,FOOD,3F,
Scandia,GOODS,2F,"Scandia is my home!
Anda dapat menemukan semua yang Anda butuhkan di Scandia. Kami menyediakan produk dan layanan dengan kualitas terbaik serta desain yang stylish untuk melengkapi kebutuhan rumah Anda. Scandia juga menawarkan kebutuhan  rumah. Mulai dari peralatan makan, peralatan dapur, perkakas, aksesoris perjalanan, serta elektronik."
Sego Tempong Bu Lis,FOOD,3F,
Shabu Shabu On-Yasai,FOOD,GF,"On-Yasai secara harfiah berarti Sayuran Hangat dalam bahasa Jepang. Di On-Yasai ""温 野菜"", 3 karakter ini mewakili makna yang sangat signifikan. ""温"" = makanan hangat dan layanan yang menghangatkan hati, ""野"" = sehat dan segar, ""菜"" = berbagai macam makanan pembuka / sayuran. On-Yasai hanya memilih sayuran segar. Daging kami juga dipilih dengan baik dan dicocokkan dengan basis sup kami. Di ""On-Yasai"", kami memiliki semua semangat dan upaya, kami dapat memberikan pengalaman bersantap yang paling menyenangkan bagi tamu. Rantai Shabu Shabu terbesar di Jepang, On-Yasai ""温 野菜"" dengan lebih dari 342 outlet,"
Shihlin Taiwan Street Snacks ,FOOD,GF,"Shihlin hadir dengan menu andalan XXL Crispy Chicken, yakni sajian dada ayam tanpa tulang yang lezat dengan digoreng memakai tepung crispy khas Taiwan dan rasanya renyah. Menu ini paling popular di setiap outlet karena memiliki rasa yang unik dengan bumbu dari rempah-rempah khas oriental hingga penyajian yang menarik"
Shortcut Barbershop,SERVICE,2F,"Dengan menawarkan konsep premium quality khususnya di bidang men’s grooming, Shortcut Barbershop hadir memberikan pengalaman baru kepada para customer dengan memberikan pelayanan terbaik. Barbershop Premium dengan konsep interior vintage look dan industrialis moderen."
Shu Shu ,FOOD,3F,
Simply ,FOOD,3F,
Skechers,FASHION,GF,"Skechers adalah perusahaan sapatu dengan model yang penuh gaya untuk pria, wanita dan anak-anak."
Sneakers 101,SERVICE,1F,Perbarui sepatu Anda
Social Affair,FOOD,GF,"Social Affair adalah kafe yang didirikan oleh Artisan Kuliner Group, yang berspesialisasi pada pastry dan kue yang selalu kami panggang sendiri setiap harinya, brunch yang terinspirasi dari budaya Australia, berbagai masakan mancanegara, dan berbagai minuman, seperti kopi, minuman berbasis cokelat, dan juga mocktail yang menyegarkan.

Pertama kali beroperasi pada tahun 2016, kami dengan bangga membuat dan memanggang produk bakery kami sendiri: mulai dari berbagai croissant dengan rasa manis maupun gurih, pilihan kue-kue yang dipajang di etalase cafe kami, hingga semua roti yang kami gunakan dalam menu makanan kami.

Pada bulan Agustus 2020 kemarin, kami juga telah meluncurkan CROFFLE orisinal yang pertama, yaitu kombinasi croissant & waffle. CROFFLE kami telah memikat hati banyak orang dan mendapat banyak perhatian di seluruh negeri.
Kami dengan bangga menggunakan bahan-bahan yang berkualitas tinggi untuk memastikan pengalaman yang memuaskan bagi semua tamu kami.."
Sociolla,GOODS,GF,
Solaria,FOOD,3F,
Sop Konro Cendana,FOOD,3F,
Soto Betawi H. Mamat ,FOOD,3F,
Soto Mie Pak Kadir,FOOD,3F,
Sour Sally,FOOD,3F,"Sour Sally adalah sebuah outlet yogurt beku revolusioner pertama di Indonesia, yang didirikan di Indonesia pada tahun 2008.Sour Sally memiliki varian rasa yogurt beku seperti Original, Green Tea, Taro, Choco Nutty, Bubble Gum, Pinklicious, Melon Mint, Black Sakura, dan lain-lain. Sour Sally juga mempunyai menu Pinklicious Waffle, aneka ragam topping dan aneka ragam smoothie."
Staccato,FASHION,1F,"Staccato adalah merek sepatu ikonik yang melambangkan rasa kepercayaan diri pada wanita.
Terinsipirasi oleh tren mode Eropa terdepan, Staccato menghadirkan koleksi sepatu paling trendi untuk sehari-hari dan segala macam acara."
Starbucks Coffee ,FOOD,GF,"Starbucks berkomitmen untuk hanya menjual kopi kacang utuh dan minuman kopi terbaik. Untuk memastikan kepatuhan dengan standar kopinya yang ketat, Starbucks mengontrol pembelian, pemanggangan, dan pengemasan kopi, serta distribusi kopi ke toko ritelnya."
Steak 21 ,FOOD,3F,"Steak 21 (baca;dua satu) adalah resto dengan spesialisasi hidangan Steak ala Asia. Menu andalan kami Prime Tenderloin,”empuk dagingnya, mantap rasanya”. Kami memiliki menu combo utk 2 org lebih hemat s/d 24 ribu. Kisaran harga makanan khusus Steak Rp.43 ribu s/d Rp.205 ribu minuman Rp.7 ribu s/d Rp.31 ribu."
Stop n Go ,SERVICE,GF,"Profesional Perbaikan Sepatu & Tas.
Pelayanan:
• Perbaikan sepatu & tas
• Perbaikan koper
• Duplikat kunci
• Pembersihan & perawatan

Produk:
• Perawatan sepatu
• Perawatan material kulit
• Sol & lem sepatu"
Sukiya,FOOD,3F,"SUKIYA Brand No.1 untuk penjualan Gyudon di Jepang. Dengan menu andalan Gyudon (Beef bowl) nasi dengan taburan irisan daging sapi dan bawang bombay yang terkenal dengan citra makanan khas Jepang yang lezat. Dari segi rasa, Gyudon (Beef bowl) yang dibuat di Indonesia tidak kalah dengan tempat aslinya. Variasi toping Gyudon (Beef bowl) yang ditawarkan juga cukup bervariasi seperti spicy mushroom, triple cheese, spring onion and egg, half boiled dan veggies. Bukan pecinta Beef? Cobalah Chicken Curry dengan kare khas Jepang. Bumbunya yang meresap sempurna membuat selera makan semakin meningkat! Jangan khawatir untuk harga, karena semua menu yang ditawarkan pasti terjangkau untuk semua kalangan."
Superwings,FOOD,GF,
